Official Name of Satellite,Dry Mass (Kilograms)
ORBCOMM FM-109,
ORBCOMM FM-110,
ORBCOMM FM-111,
ORBCOMM FM-112,
ORBCOMM FM-113,
ORBCOMM FM-114,
ORBCOMM FM-115,
ORBCOMM FM-116,
ORBCOMM FM-117,
ORBCOMM FM-118,
ORBCOMM FM-119,
OUFTI-1,
Paksat-1R,2100
Palapa C2,1740
Palapa D1,
USA 207,
ParkinsonSat-1,
Cosmos 2407,
Cosmos 2414,
Cosmos 2463,
Prototype Communications SATellite (PCSat),10
Perseus M1,
Perseus M2,
Cosmos 2486,
Cosmos 2506,
Phonesat 2.4,
Pléiades HR1A ,
Pléiades HR1B ,
PolyITAN-1,
Popsat-HIP,
Prism,
Project for On-Board Autonomy (Proba 1),
Project for On-Board Autonomy (Proba 2),
Proba V,
Prometheus 1A,
Prometheus 4A,
Prometheus 4B,
PropCube-1,
PropCube-3,
PUCPSat-1,
Pujiang-1,
QB50Pl,
QB50P2,
Qsat-EOS,
QueztSat-1,
QZS-1,
Radarsat-2,
Radio-ROSTO,
Cosmos 2450,
Raduga 1-M2,
Raduga 1-M3,
USA 225,
RapidEye-1,150
RapidEye-2,150
RapidEye-3,150
RapidEye-4,150
RapidEye-5,150
RASAT,
Rascom-QAF 1R,1390
INnovative technology Demonstration EXperiment satellite (INDEX),
Relek,55
Resourcesat 2,
Resurs-DK1,
Resurs-P1,
Resurs-P2,
Resurs-P3,
RISat-1,
RISat-2,
Rising-2,
Cosmos 2416,
Cosmos 2437,
Cosmos 2438,
Cosmos 2439,
Cosmos 2451,
Cosmos 2453,
Cosmos 2467,
Cosmos 2468,
Cosmos 2481,
Cosmos 2482,
Cosmos 2483,
Cosmos 2484,
Cosmos 2488,
Cosmos 2489,
Cosmos 2490,
Cosmos 2496,
Cosmos 2497,
Cosmos 2498,
Cosmos 2507,
Cosmos 2508,
Cosmos 2509,
Cosmos 2499,
Rumba,478
Salsa,478
Samba,478
SAMSAT 218D,
Sapphire,
SARAL,
SAR-Lupe 1,
SAR-Lupe 2,
SAR-Lupe 3,
SAR-Lupe 4,
SAR-Lupe 5,
Sathyabamasat,
Saudicomsat-1,
Saudicomsat-2 ,
Saudicomsat-3,
Saudicomsat-4,
Saudicomsat-5,
