movie_title,release_date,genre,mpaa_rating,total_gross,Pricce
The Big Green,29-09-1995,Comedy,PG,17736619,
Dead Presidents,04-10-1995,Drama,R,24120194,
The Scarlet Letter,13-10-1995,Drama,R,10359006,
Feast of July,13-10-1995,Drama,R,293274,
Powder,27-10-1995,Drama,PG-13,30833914,
Toy Story,22-11-1995,Adventure,G,191796233,
Father of the Bride Part II,08-12-1995,Comedy,PG,76578911,
Nixon,20-12-1995,Drama,R,13668249,
Tom and Huck,22-12-1995,Adventure,PG,23837227,
Mr. Holland's Opus,29-12-1995,Drama,PG,82582604,
White Squall,02-02-1996,Adventure,PG-13,10229300,
Muppet Treasure Island,16-02-1996,Adventure,G,34327391,
Mr. Wrong,16-02-1996,Romantic Comedy,PG-13,12805071,
Before and After,23-02-1996,Drama,PG-13,8642118,
Up Close & Personal,01-03-1996,Drama,PG-13,51045801,
Homeward Bound II: Lost in San Franc…,08-03-1996,Adventure,G,32709423,
Two Much,15-03-1996,Romantic Comedy,PG-13,1078555,
Un indien dans la ville,22-03-1996,Comedy,PG,1029731,
James and the Giant Peach,12-04-1996,Adventure,PG,28921264,
Celtic Pride,19-04-1996,Comedy,PG-13,9240378,
Last Dance,03-05-1996,Drama,R,5857534,
Boys,10-05-1996,Drama,PG-13,21930418,
Spy Hard,24-05-1996,Comedy,PG-13,26936265,
Eddie,31-05-1996,Comedy,PG-13,31369401,
The Rock,07-06-1996,Action,R,134069511,
The Hunchback of Notre Dame,21-06-1996,Adventure,G,100138851,
Phenomenon,05-07-1996,Drama,PG,104636382,
Kazaam,17-07-1996,Comedy,PG,18880508,
Jack,09-08-1996,Drama,PG-13,58617334,
First Kid,30-08-1996,Comedy,PG,26465920,
The Rich Man's Wife,13-09-1996,Thriller/Suspense,R,8538318,
D3: The Mighty Ducks,04-10-1996,Comedy,PG,22936273,
The Associate,25-10-1996,Comedy,PG-13,12772657,
Ransom,08-11-1996,Action,R,136492681,
The War at Home,20-11-1996,,R,34368,
101 Dalmatians,27-11-1996,Comedy,G,136189294,
The Preacher's Wife,13-12-1996,Drama,PG,48102795,
